СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 29.07.2020,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
1.  ,"2216306  СМГ ""П. Хилендарски""",2277  Математически - АЕ,482.25,485.5,без квоти
2.  ,2211304  НПМГ,0814  Математически - АЕ М Инф,477.75,480.25,без квоти
3.  ,2211304  НПМГ,0821  Математически - НЕ,477.75,477.75,без квоти
4.  ,"2209019  19 СУ ""Елин Пелин""",2689  Предприемачески - АЕ интензивно ДатЕ,475.5,475.5,без квоти
5.  ,2204091  91 НЕГ,2644  Чужди езици - НЕ интензивно,460,468.5,девойки
6.  ,2216164  164 ГПИЕ,2561  Чужди езици - ИЕ интензивно АЕ,457.5,457.5,девойки
7.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,450,450,девойки
8.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2028  Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,448.5,448.5,младежи
9.  ,2216301  Първа АЕГ,0672  Чужди езици - АЕ интензивно ИЕ,448,448,девойки
10.  ,2211304  НПМГ,1177  Софтуерни и хардуерни науки - АЕ,448,448,без квоти
11.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,447.5,447.5,девойки
12.  ,2216301  Първа АЕГ,0649  Чужди езици - АЕ интензивно РЕ,444,447,девойки
13.  ,2222009  9 ФЕГ,2163  Чужди езици - ФЕ интензивно   ИЕ,444,444,девойки
14.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Чужди езици - АЕ интензивно   РЕ,443,443,девойки
15.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2034  Чужди езици - АЕ интензивно РЕ М ИТ,440,440,девойки
16.  ,2213350  ТУЕС към ТУ-София,2127  Системно програмиране - АЕ,439.75,478.5,без квоти
17.  ,"2205407  СПГЕ  ""Джон Атанасов""",2328  Системно програмиране - АЕ,439.25,439.25,без квоти
18.  ,"2205407  СПГЕ  ""Джон Атанасов""",2338  Приложно програмиране - АЕ,436.5,436.5,без квоти
19.  ,"2222133  133 СУ ""А.С.Пушкин""",2270  Чужди езици - ФЕ интензивно   РЕ,435,439,девойки
20.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ РЕ МАТ,434,436,девойки
21.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,432.5,433.5,девойки
22.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ РЕ ИТ,432,432,девойки
23.  ,"2206302  ІІ АЕГ ""Томас Джеферсън""",2025  Чужди езици АЕ интензивно ИЕ М ГИ,429,429,младежи
24.  ,2211304  НПМГ,0845  Природни науки - НЕ Х Б,428.69,428.69,без квоти
25.  ,"2204018  18 СУ ""Уилям Гладстон""",0902  Чужди езици - ФЕ интензивно   ИЕ,424,424,без квоти
26.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,423.5,423.5,девойки
27.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,423,423,девойки
28.  ,"2224022  22 СЕУ ""Г. С. Раковски""",3017  Чужди езици - АЕ интензивно НЕ,420,430,без квоти
29.  ,2216301  Първа АЕГ,0727  Чужди езици - АЕ интензивно НЕ,420,425.5,младежи
30.  ,2216301  Първа АЕГ,0752  Чужди езици - АЕ интензивно ФЕ,419,419,младежи
31.  ,"2221031  31СУЧЕМ ""Иван Вазов""",3018  Математически - АЕ интензивно,418,422.5,без квоти
32.  ,"2204018  18 СУ ""Уилям Гладстон""",1631  Чужди езици - ЯЕ интензивно  АЕ,418,418,без квоти
33.  ,"2224432  ПГД ""Елисавета Вазова""София",1292  Интериорен дизайн - ИтЕ,416.75,416.75,без квоти
34.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2565  Чужди езици - АЕ интензивно ИЕ,416.5,427,без квоти
35.  ,2224433  НТБГ,0802  Икономическа информатика - АЕ интензивно,416,416,девойки
36.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,415.5,415.5,девойки
37.  ,"2224073  73. СУ ""Владислав Граматик""",2658  Чужди езици - НЕ интензивно АЕ,415.5,415.5,младежи
38.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2753  Чужди езици - АЕ интензивно  НЕ,412.5,412.5,без квоти
39.  ,"2224073  73. СУ ""Владислав Граматик""",2656  Чужди езици - НЕ интензивно ФЕ,412,412,младежи
40.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,410.5,438.5,девойки
41.  ,2209051  51 СУ,2289  Софтуерни и хардуерни науки - АЕ интензивно,409,409,без квоти
42.  ,"2224022  22 СЕУ ""Г. С. Раковски""",2577  Чужди езици - ИЕ интензивно АЕ,408,437.5,без квоти
43.  ,"2222133  133 СУ ""А.С.Пушкин""",2269  Чужди езици - АЕ интензивно   РЕ,408,408,младежи
44.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2209  Чужди езици - НЕ интензивно    АЕ или РЕ,407.25,442,без квоти
45.  ,"2211035  35. СЕУ ""Добри Войников""",0389  Чужди езици - НЕ РЕ МАТ,405,405,младежи
46.  ,"2211035  35. СЕУ ""Добри Войников""",0390  Чужди езици - НЕ РЕ ГЕО,405,405,младежи
47.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2771  Чужди езици - АЕ интензивно  НЕ,404.5,411.5,младежи
48.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2755  Чужди езици - АЕ интензивно   ИЕ,403,436,без квоти
49.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2773  Чужди езици - АЕ интензивно   ИЕ,398,431,девойки
50.  ,2209051  51 СУ,2276  Компютърна графика - АЕ интензивно,397,397,без квоти
51.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0719  Строителство и архитектура - АЕ,394.5,394.5,без квоти
52.  ,"2204018  18 СУ ""Уилям Гладстон""",0897  Чужди езици - НЕ интензивно   АЕ,393,394.5,без квоти
53.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,393,393,девойки
54.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,393,393,девойки
55.  ,"2204018  18 СУ ""Уилям Гладстон""",0905  Чужди езици - ФЕ интензивно  АЕ,391,428,без квоти
56.  ,"2211035  35. СЕУ ""Добри Войников""",0392  Чужди езици - ФЕ РЕ ИТ,391,402,младежи
57.  ,"2221031  31СУЧЕМ ""Иван Вазов""",2759  Чужди езици - НЕ интензивно   АЕ,386,408.5,без квоти
58.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0360  Чужди езици - АЕ интензивно НЕ,385.5,402,без квоти
59.  ,"2222133  133 СУ ""А.С.Пушкин""",2272  Чужди езици - РЕ интензивно   АЕ,385,385.5,младежи
60.  ,2209051  51 СУ,2291  Изобразително изкуство - АЕ,384.5,402.5,без квоти
61.  ,2211420  НФСГ,2768  Икономика и мениджмънт - ФЕ,383.5,383.5,без квоти
62.  ,"2204134  134. СУ ""Д. Дебелянов""",1952  Чужди езици - АЕ интензивно,383.25,391,без квоти
63.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0359  Чужди езици - АЕ интензивно  ИЕ,380,381.5,без квоти
64.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1365  Природни науки - АЕ интензивно,380,380,без квоти
65.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0361  Софтуерни и хардуерни науки - АЕ интензивно НЕ,378.5,383.5,без квоти
66.  ,"2205407  СПГЕ  ""Джон Атанасов""",2360  Компютърни мрежи - АЕ,376.5,403.75,без квоти
67.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1362  Математически - АЕ интензивно,374,397.5,без квоти
68.  ,"2205407  СПГЕ  ""Джон Атанасов""",2363  Компютърна техника и технологии - АЕ,373.75,373.75,без квоти
69.  ,2223431  ПГ по телекомуникации,0738  Системно програмиране - АЕ,372.25,372.25,без квоти
70.  ,"2224432  ПГД ""Елисавета Вазова""София",1294  Графичен дизайн - АЕ,372.25,372.25,без квоти
71.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2159  Чужди езици - АЕ интензивно   НЕ или РЕ,372,398,без квоти
72.  ,2224433  НТБГ,0788  Електронна търговия - АЕ интензивно,370.5,373,младежи
73.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0363  Чужди езици - АЕ интензивно ФЕ,370,396,без квоти
74.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1900  Чужди езици - ИЕ интнензивно АЕ БЗО,368.5,374.25,без квоти
75.  ,"2224432  ПГД ""Елисавета Вазова""София",1290  Интериорен дизайн- НЕ,368,407.75,без квоти
76.  ,2211420  НФСГ,2754  Икономика и мениджмънт - АЕ,367.5,393,без квоти
77.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1522  Хуманитарни науки - АЕ интензивно,366.5,427,без квоти
78.  ,2223431  ПГ по телекомуникации,0722  Компютърни мрежи - АЕ,366.25,366.25,без квоти
79.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,365,377,младежи
80.  ,"2204030  30 СУ ""Братя Миладинови""",1307  Чужди езици - ИЕ интензивно  АЕ,365,366.5,без квоти
81.  ,2211420  НФСГ,2764  Икономика и мениджмънт - НЕ,362,411,без квоти
82.  ,"2205407  СПГЕ  ""Джон Атанасов""",2366  Микропроцесорна техника - АЕ,361.75,363.25,без квоти
83.  ,"2204018  18 СУ ""Уилям Гладстон""",1647  Чужди езици - КорЕ интензивно   АЕ,361.5,361.5,без квоти
84.  ,"2224432  ПГД ""Елисавета Вазова""София",1296  Рекламна графика - АЕ,360,369.25,без квоти
85.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0957  Хуманитарни науки - АЕ интензивно,359.5,364.75,без квоти
86.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1358  Чужди езици - АЕ интензивно  НЕ,357.5,360,без квоти
87.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",1354  Чужди езици - АЕ интензивно  ИЕ,356.25,401.75,без квоти
88.  ,"2204134  134. СУ ""Д. Дебелянов""",1961  Природни науки - АЕ интензивно,354,354,без квоти
89.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно,353.5,353.5,младежи
90.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно,352,352,младежи
91.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0762  Геодезия - АЕ,351,351,без квоти
92.  ,2223431  ПГ по телекомуникации,0743  Приложно програмиране - АЕ,350.75,350.75,без квоти
93.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1366  Предприемачески - ИЕ интензивно,350.5,375,без квоти
94.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1532  Чужди езици - РЕ интензивно,350.5,366,без квоти
95.  ,"2204030  30 СУ ""Братя Миладинови""",2602  Икономическо развитие - АЕ интензивно    НЕ,350.5,360,без квоти
96.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно,350.5,350.5,младежи
97.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2215  Предприемачески - ФЕ интензивно,350.5,350.5,без квоти
98.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1907  Природни науки - АЕ интензивно,349.75,404,без квоти
99.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1906  Чужди езици - АЕ интензивно ИЕ ИЦ,348.5,394,без квоти
100.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1831  Чужди езици - ИЕ интензивно АЕ ИЦ,348,437.75,без квоти
101.  ,2211420  НФСГ,2798  Търговия - НЕ (дуална),348,357,без квоти
102.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно,345,347,младежи
103.  ,"2204134  134. СУ ""Д. Дебелянов""",1968  Софтуерни и хардуерни науки - АЕ интензивно,343.25,343.25,без квоти
104.  ,"2204018  18 СУ ""Уилям Гладстон""",1642  Чужди езици - КитЕ интензивно   АЕ,343,372,без квоти
105.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2466  Организация на туризма и свободното време - АЕ интензивно КорЕ,341.5,341.5,без квоти
106.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0951  Чужди езици - АЕ интензивно НЕ или ИЕ,337,350.5,без квоти
107.  ,"2209019  19 СУ ""Елин Пелин""",2682  Предприемачески - АЕ интензивно НорвЕ,336.5,349,без квоти
108.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2456  Чужди езици - ЯЕ интензивно   АЕ,335,337.75,без квоти
109.  ,2223431  ПГ по телекомуникации,0660  Телекомуникационни системи - АЕ,332,332,без квоти
110.  ,2223055  55 СУ,2144  Софтуерни и хардуерни науки - АЕ интензивно,332,332,без квоти
111.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0958  Обществени науки - АЕ интензивно,331,403.75,без квоти
112.  ,"2207108  108 СУ ""Н.Беловеждов""",1852  Предприемачески  - АЕ интензивно,330.75,330.75,без квоти
113.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0748  Транспортно строителство - АЕ,330.5,330.5,без квоти
114.  ,"2205105  105. СУ ""Атанас Далчев""",2514  Чужди езици - ИтЕ интензивно,329.5,412.25,без квоти
115.  ,"2205407  СПГЕ  ""Джон Атанасов""",2372  Промишлена електроника - АЕ,329.25,335,без квоти
116.  ,"2224432  ПГД ""Елисавета Вазова""София",1227  Моден дизайн - ФЕ,328.5,395,без квоти
117.  ,"2202002  2. СУ ""Акад.Емилиян Станев""",0947  Природни науки - АЕ интензивно,328,330,без квоти
118.  ,2213118  118 СУ,2943  Софтуерни и хардуерни науки - АЕ интензивно,327,332.5,без квоти
119.  ,"2213144  144 СУ ""Народни будители""",1142  Български танци - АЕ,326.5,382.75,без квоти
120.  ,"2221138  138 СУЗИЕ""Проф.В.Златарски""",2451  Чужди езици - КитЕ интензивно    АЕ,325.75,354,без квоти
121.  ,"2204030  30 СУ ""Братя Миладинови""",1308  Природни науки - ИЕ интензивно,323.5,377,без квоти
122.  ,2212040  40 СУ,0508  Софтуерни и хардуерни науки - АЕ интензивно,323,323,без квоти
123.  ,"2205408  СПГ ""Княгиня Евдокия""",2845  Козметика,322.75,322.75,без квоти
124.  ,"2220308  ПГИИ ""Проф. Н. Райнов""",1572  Компютърна графика,321.25,338.75,без квоти
125.  ,2223431  ПГ по телекомуникации,0730  Компютърна техника и технологии - АЕ,319.75,323.5,без квоти
126.  ,"2206409  ПГТЕ ""Хенри Форд""",2364  Автотранспортна техника - техник,318.5,318.5,без квоти
127.  ,"2205105  105. СУ ""Атанас Далчев""",2543  Екскурзоводско обослужване - ИтЕ интензивно,317.5,340.5,без квоти
128.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0317  Медицинска техника - НЕ,316.5,357,без квоти
129.  ,"2219044  44. СУ ""НЕОФИТ БОЗВЕЛИ""",1536  Софтуерни и хардуерни науки - АЕ интензивно,315,320,без квоти
130.  ,"2204018  18 СУ ""Уилям Гладстон""",1637  Чужди езици - АрЕ интензивно   АЕ,314.5,351,без квоти
131.  ,"2211419  СГСАГ ""ХРИСТО БОТЕВ""",0838  Брокер недвижими имоти - АЕ,311.25,354.25,без квоти
132.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0916  Чужди езици - ИтЕ интензивно,309.25,342.5,без квоти
133.  ,"2206003  3 СУ ""МАРИН ДРИНОВ""",2913  Изобразително изкуство - РЕ интензивно,309.25,309.25,без квоти
134.  ,"2209036  36 СУ ""Максим Горки""",0784  Чужди езици - АЕ,306.5,318.5,без квоти
135.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0898  Чужди езици - АЕ интензивно ИЕ,305,342.5,без квоти
136.  ,"2213125  125 СУ ""Боян Пенев""",1546  Хуманитарни науки - АЕ интензивно,305,340,без квоти
137.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2760  Приложно програмиране - АЕ интензивно,304.75,398.75,без квоти
138.  ,2216423  СПГТ,1283  Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,303.5,303.5,без квоти
139.  ,2223431  ПГ по телекомуникации,0746  Икономическа информатика - АЕ,300.75,364,без квоти
140.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0321  Кинотехника аудио- и видеосистеми - АЕ,299.5,325.5,без квоти
141.  ,"2205105  105. СУ ""Атанас Далчев""",2532  Софтуерни и хардуерни науки - АЕ интензивно,299,356,без квоти
142.  ,2216423  СПГТ,1285  Организация на хотелиерството - АЕ,299,302,без квоти
143.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0325  Лазерна и оптична техника - АЕ,299,299,без квоти
144.  ,"2215170  170 СУ ""Васил Левски""",2972  Организация на туризма и свободното време - АЕ,298.25,313,без квоти
145.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0906  Предприемачески - АЕ интензивно,298,343,без квоти
146.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2762  Чужди езици - АЕ интензивно НЕ,297,412,без квоти
147.  ,2223431  ПГ по телекомуникации,0707  Оптически комуникационни системи - АЕ,296.75,296.75,без квоти
148.  ,"2212096  96. СУ ""Л. Н. Толстой""",0903  Чужди езици - АЕ интензивно,295.5,342.25,без квоти
149.  ,"2221093  93 СУ ""Ал. Теодоров - Балан""",2878  Обществени науки - АЕ интензивно,295,346.75,без квоти
150.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0939  Икономическо развитие - АЕ,294,335,без квоти
151.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0324  Очна оптика - АЕ,293,412,без квоти
152.  ,"2209132  132. СУ ""Ваня Войнова""",0423  Софтуерни и хардуерни науки - АЕ,291.25,324.75,без квоти
153.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0930  Предприемачески - АЕ,288,316.5,без квоти
