"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2020/ 2021 ГОДИНА ",,,,,,,,
169,Люлин,"27. СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки,2387,профилирана,6,,
170,Люлин,"37. СУ ""Райна Княгиня"", ГР.СОФИЯ",Предприемачески,2110,профилирана,5,,
171,Люлин,"40 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0508,профилирана,1,,
172,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2196,профилирана,7,,
173,Люлин,"56.СУ ""Проф. К. Иречек"", ГР.СОФИЯ",Икономическо развитие - НЕ интензивно,2200,профилирана,20,,
174,Люлин,"79 СУ ""Индира Ганди"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2427,профилирана,12,,
175,Люлин,"90 СУ, ГР.СОФИЯ",Предприемачески - ИЕ,1384,профилирана,15,,
176,Люлин,"90 СУ, ГР.СОФИЯ",Природни науки - АЕ,1390,профилирана,19,,
177,Люлин,"96. СУ ""Л. Н. Толстой"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,0903,профилирана,3,,
178,Люлин,"97 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2506,профилирана,2,,
179,Люлин,"97 СУ, ГР.СОФИЯ",Търговия на едро и дребно - АЕ интензивно,2512,професионална,1,,
180,Люлин,"97 СУ, ГР.СОФИЯ",Предприемачески - АЕ,3037,профилирана,2,,
181,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Предприемачески - АЕ интензивно,1834,профилирана,2,,
182,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1838,профилирана,2,,
183,Люлин,"137 СУ ""Ангел Кънчев"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1844,профилирана,2,,
184,Младост,"10 СУ ""Теодор Траянов"", ГР.СОФИЯ",Обществени науки - АЕ,2101,профилирана,4,,
185,Младост,"39 СУ ""П.Динеков"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1802,профилирана,3,,
186,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,2566,профилирана,4,,
187,Младост,"81. СУ ""Виктор Юго"", ГР.СОФИЯ",Хуманитарни науки,2579,профилирана,5,,
188,Младост,"118 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2943,профилирана,2,,
189,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Хуманитарни науки - АЕ интензивно,1546,профилирана,3,,
190,Младост,"125 СУ ""Боян Пенев"", ГР.СОФИЯ",Математически - АЕ интензивно,1557,профилирана,7,,
191,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,1660,профилирана,5,,
192,Младост,"128 СУ ""Алберт Айнщайн"", ГР.СОФИЯ",Банкова охрана и инкасова дейност - АЕ,1670,професионална,1,,
193,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Търговия на едро и дребно,2449,професионална,18,,
194,Младост,"131 СУ ""К.А.Тимирязев"", ГР.СОФИЯ",Предприемачески,2454,профилирана,7,,
195,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Музика - АЕ,1118,профилирана,13,,
196,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Рекламна графика - АЕ,1123,професионална,7,,
197,Младост,"144 СУ ""Народни будители"", ГР.СОФИЯ",Български танци - АЕ,1142,професионална,7,,
198,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Системно програмиране - АЕ,2127,професионална,2,,
199,Младост,"ТУЕС към ТУ-София, ГР.СОФИЯ",Компютърни мрежи - АЕ,2132,професионална,0,,
200,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2582,профилирана,9,,
201,Надежда,"15 СУ, ГР.СОФИЯ",Предприемачески,3015,професионална,23,,
202,Надежда,"54 СУ, ГР.СОФИЯ",Чужди езици - АЕ интензивно,0749,профилирана,4,,
203,Надежда,"54 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,0758,профилирана,3,,
204,Надежда,"101 СУ ""БАЧО КИРО"", ГР.СОФИЯ",Икономическо развитие - АЕ интензивно,2886,профилирана,5,,
205,Надежда,"101 СУ ""БАЧО КИРО"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2889,профилирана,3,,
206,Нови Искър,"170 СУ ""Васил Левски"", ГР.НОВИ ИСКЪР",Предприемачески - АЕ,2971,профилирана,2,,
207,Нови Искър,"170 СУ ""Васил Левски"", ГР.НОВИ ИСКЪР",Организация на туризма и свободното време - АЕ,2972,професионална,2,,
208,Нови Искър,"172 ОбУ ""Христо Ботев"", ГР.НОВИ ИСКЪР",Производство на облекло от текстил,2807,професионална,7,,
209,Нови Искър,"176 ОбУ, С.НЕГОВАН",Софтуерни и хардуерни науки - АЕ,2460,профилирана,22,,
210,Оборище,"1 СУ ""Пенчо П. Славейков"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ ИЦ,1831,профилирана,8,,
211,Оборище,"1 СУ ""Пенчо П. Славейков"", ГР.СОФИЯ",Чужди езици - ИЕ интнензивно АЕ БЗО,1900,профилирана,2,,
212,Оборище,"1 СУ ""Пенчо П. Славейков"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ,1906,профилирана,6,,
213,Оборище,"1 СУ ""Пенчо П. Славейков"", ГР.СОФИЯ",Природни науки - АЕ интензивно,1907,профилирана,4,,
214,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2561,профилирана,,0,1
215,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ФЕ,2562,профилирана,,0,0
216,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ИтЕ,2564,профилирана,,0,0
217,Оборище,"164 ГПИЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно ПортЕ,2569,профилирана,,0,0
218,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,0649,профилирана,,0,3
219,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,0672,профилирана,,0,1
220,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,0727,профилирана,,2,1
221,Оборище,"Първа АЕГ, ГР.СОФИЯ",Чужди езици - АЕ интензивно ФЕ,0752,профилирана,,1,0
222,Оборище,"СМГ ""П. Хилендарски"", ГР.СОФИЯ",Математически - АЕ,2277,профилирана,3,,
223,Оборище,"СМГ ""П. Хилендарски"", ГР.СОФИЯ",Математически - НЕ интензивно,2278,профилирана,0,,
224,Оборище,"ПГМЕ, ГР.СОФИЯ",Металообработващи машини (дуална),2173,професионална,23,,
225,Оборище,"ПГМЕ, ГР.СОФИЯ",Електрообзавеждане на производството - електромонтьор (дуална),2177,професионална,17,,
226,Оборище,"ПГМЕ, ГР.СОФИЯ",Електрообзавеждане на производството - електротехник,2189,професионална,24,,
227,Оборище,"ПГМЕ, ГР.СОФИЯ",Промишлена електроника - АЕ,2193,професионална,16,,
228,Оборище,"СПГТ, ГР.СОФИЯ",Кетъринг - РЕ,1277,професионална,2,,
229,Оборище,"СПГТ, ГР.СОФИЯ",Кетъринг - ИЕ,1281,професионална,2,,
230,Оборище,"СПГТ, ГР.СОФИЯ",Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,1283,професионална,1,,
231,Оборище,"СПГТ, ГР.СОФИЯ",Производство и обслужване в заведенията за хранене и развлечения - НЕ,1284,професионална,0,,
232,Оборище,"СПГТ, ГР.СОФИЯ",Организация на хотелиерството - АЕ,1285,професионална,2,,
233,Оборище,"СПГТ, ГР.СОФИЯ",Организация на обслужването в хотелиерството - АЕ,1286,професионална,4,,
234,Оборище,"СПГТ, ГР.СОФИЯ",Екскурзоводско обслужване - АЕ,1287,професионална,4,,
235,Овча купел,"66 СУ ""Филип Станиславов"", ГР.СОФИЯ",Предприемачески,1439,профилирана,4,,
236,Овча купел,"88 СУ ""Д. Попниколов"", ГР.СОФИЯ",Чужди езици - АЕ интензивно,1353,профилирана,4,,
237,Овча купел,"88 СУ ""Д. Попниколов"", ГР.СОФИЯ",Туристическа анимация - АЕ интензивно,1356,професионална,10,,
238,Овча купел,"149 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1060,профилирана,5,,
239,Овча купел,"Национално СУ ""София"", ГР.СОФИЯ",Природни науки - АЕ,2687,профилирана,9,,
240,Овча купел,"Национално СУ ""София"", ГР.СОФИЯ",Изобразително изкуство - АЕ,2692,профилирана,9,,
241,Овча купел,"ПГЕА, ГР.СОФИЯ",Компютърни мрежи - АЕ,2115,професионална,12,,
242,Овча купел,"ПГЕА, ГР.СОФИЯ",Компютърна техника и технологии - АЕ,2123,професионална,5,,
243,Овча купел,"ПГЕА, ГР.СОФИЯ",Системно програмиране - АЕ,2133,професионална,10,,
244,Овча купел,"ПГЕА, ГР.СОФИЯ",Приложно програмиране - АЕ,2138,професионална,10,,
245,Овча купел,"ПГЕА, ГР.СОФИЯ",Автоматизация на непрекъснати производства-АЕ,2147,професионална,24,,
246,Овча купел,"ПГЕА, ГР.СОФИЯ",Електроенергетика - АЕ,2149,професионална,12,,
247,Овча купел,"ПГЕА, ГР.СОФИЯ",Електрически инсталации - АЕ,2156,професионална,7,,
248,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Трайни насаждения,2901,професионална,15,,
249,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Цветарство,2903,професионална,4,,
250,Овча купел,"ПГСС ""БУЗЕМА"", ГР.СОФИЯ",Каменоделство,2905,професионална,16,,
251,Панчарево,"71 СУ ""П.Яворов"", С.КАЗИЧЕНЕ",Икономическо развитие,1725,профилирана,9,,
252,Панчарево,"192 СУ, С.БИСТРИЦА",Туристическа анимация,2952,професионална,9,,
253,Подуяне,"24 СУ ""П. К. Яворов "", ГР.СОФИЯ",Предприемачески,2439,профилирана,3,,
254,Подуяне,"44. СУ ""Неофит Бозвели"", ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,1536,профилирана,2,,
255,Подуяне,"44. СУ ""Неофит Бозвели"", ГР.СОФИЯ",Софтуерни и хардуерни науки - НЕ интензивно,1538,профилирана,3,,
256,Подуяне,"95 СУ, ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,2354,профилирана,3,,
257,Подуяне,"95 СУ, ГР.СОФИЯ",Чужди езици - РЕ интензивно АЕ,2359,профилирана,4,,
258,Подуяне,"95 СУ, ГР.СОФИЯ",Природни науки - АЕ интензивно,2459,профилирана,14,,
259,Подуяне,"130 СУ ""Стефан Караджа"", ГР.СОФИЯ",Продавач-консултант,2236,професионална,5,,
260,Сердика,"14 СУ ""Проф. д-р А. Златаров, ГР.СОФИЯ",Обществени науки - АЕ,1312,профилирана,10,,
261,Сердика,"29. СУ ""Кузман Шапкарев"", ГР.СОФИЯ",Софтуерни и хардуерни науки,2408,профилирана,7,,
262,Сердика,"29. СУ ""Кузман Шапкарев"", ГР.СОФИЯ",Физическо възпитание и спорт,2411,профилирана,,,
263,Сердика,"59 ОбУ ""Васил Левски"", ГР.СОФИЯ",Готвач,1530,професионална,6,,
264,Сердика,"ПГИИ ""Проф. Н. Райнов"", ГР.СОФИЯ",Компютърна графика,1572,професионална,2,,
265,Сердика,"ПГЖПТ ""Никола Корчев"", ГР.СОФИЯ",Осигурителни и комуникационни системи в жп инфраструктура - АЕ,1894,професионална,25,,
266,Сердика,"ПГЖПТ ""Никола Корчев"", ГР.СОФИЯ",Локомотиви и вагони - АЕ (дуална),2000,професионална,20,,
267,Сердика,"ПГИИРЕ, ГР.СОФИЯ",Чужди езици - РумЕ интензивно,2934,профилирана,16,,
268,Сердика,"ПГИИРЕ, ГР.СОФИЯ",Чужди езици - ИЕ интензивно,2935,профилирана,11,,
269,Сердика,"ПГИИРЕ, ГР.СОФИЯ",Екскурзоводско обслужване - РумЕ интензивно,2937,професионална,22,,
270,Слатина,"23 СУ ""Фредерик Ж.-Кюри"", ГР.СОФИЯ",Чужди езици - ИтЕ интензивно,0916,профилирана,7,,
271,Слатина,"23 СУ ""Фредерик Ж.-Кюри"", ГР.СОФИЯ",Предприемачески - АЕ,0930,профилирана,5,,
272,Слатина,"23 СУ ""Фредерик Ж.-Кюри"", ГР.СОФИЯ",Икономическо развитие - АЕ,0939,профилирана,6,,
273,Слатина,"31 СУЧЕМ ""Иван Вазов"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,2753,профилирана,1,,
274,Слатина,"31 СУЧЕМ ""Иван Вазов"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2755,профилирана,3,,
275,Слатина,"31 СУЧЕМ ""Иван Вазов"", ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ,2759,профилирана,4,,
276,Слатина,"31 СУЧЕМ ""Иван Вазов"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2766,профилирана,0,,
277,Слатина,"31 СУЧЕМ ""Иван Вазов"", ГР.СОФИЯ",Математически - АЕ интензивно,3018,профилирана,2,,
278,Слатина,"93 СУ ""Ал. Теодоров - Балан"", ГР.СОФИЯ",Обществени науки - РЕ интензивно,2876,профилирана,4,,
279,Слатина,"93 СУ ""Ал. Теодоров - Балан"", ГР.СОФИЯ",Обществени науки - АЕ интензивно,2878,профилирана,5,,
280,Слатина,"94 СУ ""Д.Страшимиров"", ГР.СОФИЯ",Предприемачески,2525,профилирана,6,,
281,Слатина,"94 СУ ""Д.Страшимиров"", ГР.СОФИЯ",Производство на облекло от текстил,2535,професионална,11,,
282,Слатина,"94 СУ ""Д.Страшимиров"", ГР.СОФИЯ",Логистика на товари и услуги,2539,професионална,4,,
283,Слатина,"138 СУЗИЕ ""Проф.В.Златарски""",Чужди езици - АЕ интензивно ИЕ,1354,профилирана,4,,
284,Слатина,"138 СУЗИЕ ""Проф.В.Златарски""",Чужди езици - КитЕ интензивно АЕ,2451,профилирана,5,,
285,Слатина,"138 СУЗИЕ ""Проф.В.Златарски""",Чужди езици - ЯЕ интензивно АЕ,2456,профилирана,2,,
286,Слатина,"138 СУЗИЕ ""Проф.В.Златарски""",Организация на туризма и свободното време - АЕ интензивно КорЕ,2466,професионална,1,,
287,Слатина,"157 ГИЧЕ ""Сесар Вайехо"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно,1023,профилирана,21,,
288,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Автотранспортна техника - техник АЕ (дуална),2153,професионална,10,,
289,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Автомобилна мехатроника - АЕ,2165,професионална,4,,
290,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Ремонт на летателни апарати - АЕ,2178,професионална,7,,
291,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Спедиция транспортна и складова логистика - АЕ,2187,професионална,11,,
292,Слатина,"ПГТ ""МАКГАХАН"", ГР.СОФИЯ",Спедиция транспортна и складова логистика - АЕ (дуална),2212,професионална,6,,
293,Средец,"7. СУ ""Свети Седмочисленици""",Чужди езици - АЕ интензивно ИЕ,0359,профилирана,2,,
294,Средец,"7. СУ ""Свети Седмочисленици""",Чужди езици - АЕ интензивно НЕ,0360,профилирана,2,,
295,Средец,"7. СУ ""Свети Седмочисленици""",Софтуерни и хардуерни науки - АЕ интензивно НЕ,0361,профилирана,2,,
296,Средец,"7. СУ ""Свети Седмочисленици""",Чужди езици - АЕ интензивно ФЕ,0363,профилирана,5,,
297,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно АЕ,2158,профилирана,,0,0
298,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно ИЕ,2163,профилирана,,0,1
299,Средец,"9 ФЕГ, ГР.СОФИЯ",Чужди езици - ФЕ интензивно НЕ,2168,профилирана,,0,0
300,Средец,"12 СУ ""Цар Иван Асен ІІ"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ или РЕ,2159,профилирана,5,,
301,Средец,"12 СУ ""Цар Иван Асен ІІ"", ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ или РЕ,2209,профилирана,2,,
302,Средец,"12 СУ ""Цар Иван Асен ІІ"", ГР.СОФИЯ",Предприемачески - ФЕ интензивно,2215,профилирана,1,,
303,Средец,"127 СРЕДНО УЧИЛИЩЕ, ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,1358,профилирана,3,,
304,Средец,"127 СРЕДНО УЧИЛИЩЕ, ГР.СОФИЯ",Математически - АЕ интензивно,1362,профилирана,2,,
305,Средец,"127 СРЕДНО УЧИЛИЩЕ, ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,1364,профилирана,0,,
306,Средец,"127 СРЕДНО УЧИЛИЩЕ, ГР.СОФИЯ",Природни науки - АЕ интензивно,1365,профилирана,1,,
307,Средец,"127 СРЕДНО УЧИЛИЩЕ, ГР.СОФИЯ",Предприемачески - ИЕ интензивно,1366,профилирана,3,,
308,Средец,"133 СУ ""А.С.Пушкин"", ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ,2269,профилирана,,1,1
309,Средец,"133 СУ ""А.С.Пушкин"", ГР.СОФИЯ",Чужди езици - ФЕ интензивно РЕ,2270,профилирана,,0,2
310,Средец,"133 СУ ""А.С.Пушкин"", ГР.СОФИЯ",Чужди езици - РЕ интензивно АЕ,2272,профилирана,,2,0
311,Студентски,"55 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ интензивно,2144,профилирана,1,,
312,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Телекомуникационни системи - АЕ,0660,професионална,1,,
313,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Оптически комуникационни системи - АЕ,0707,професионална,1,,
314,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Компютърни мрежи - АЕ,0722,професионална,1,,
315,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Компютърна техника и технологии - АЕ,0730,професионална,2,,
316,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Системно програмиране - АЕ,0738,професионална,1,,
317,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Приложно програмиране - АЕ,0743,професионална,1,,
318,Студентски,"ПГ по телекомуникации, ГР.СОФИЯ",Икономическа информатика - АЕ,0746,професионална,4,,
319,Триадица,"22 СЕУ ""Г. С. Раковски"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ,2565,профилирана,2,,
320,Триадица,"22 СЕУ ""Г. С. Раковски"", ГР.СОФИЯ",Чужди езици - ИЕ интензивно АЕ,2577,профилирана,5,,
321,Триадица,"22 СЕУ ""Г. С. Раковски"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ,3017,профилирана,2,,
322,Триадица,"47 СУ, ГР.СОФИЯ",Предприемачески - АЕ интензивно,0515,профилирана,4,,
323,Триадица,"73. СУ ""Владислав Граматик"", ГР.СОФИЯ",Чужди езици - НЕ интензивно РЕ,2651,профилирана,,0,0
324,Триадица,"73. СУ ""Владислав Граматик"", ГР.СОФИЯ",Чужди езици - НЕ интензивно ФЕ,2656,профилирана,,1,1
325,Триадица,"73. СУ ""Владислав Граматик"", ГР.СОФИЯ",Чужди езици - НЕ интензивно АЕ,2658,профилирана,,1,0
326,Триадица,"121 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - АЕ,2637,профилирана,5,,
327,Триадица,"121 СУ, ГР.СОФИЯ",Предприемачески - АЕ,2642,профилирана,12,,
328,Триадица,"121 СУ, ГР.СОФИЯ",Софтуерни и хардуерни науки - ИЕ,2647,профилирана,14,,
329,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ М ФА,2018,профилирана,,0,0
330,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ БЕЛ,2020,профилирана,,0,0
331,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно НЕ БЗО ХООС,2022,профилирана,,0,0
332,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици АЕ интензивно ИЕ М ГИ,2025,профилирана,,1,0
333,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ БЕЛ,2028,профилирана,,1,0
334,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно ИЕ ИЦ ГИ,2030,профилирана,,0,0
335,Триадица,"ІІ АЕГ ""Томас Джеферсън"", ГР.СОФИЯ",Чужди езици - АЕ интензивно РЕ М ИТ,2034,профилирана,,0,1
336,Триадица,"ПГ по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",Моден дизайн - ФЕ,1227,професионална,6,,
337,Триадица,"ПГ по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",Интериорен дизайн- НЕ,1290,професионална,2,,
338,Триадица,"ПГ по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",Интериорен дизайн - ИтЕ,1292,професионална,1,,
339,Триадица,"ПГ по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",Графичен дизайн - АЕ,1294,професионална,1,,
340,Триадица,"ПГ по дизайн ""Елисавета Вазова"", ГР.СОФИЯ",Рекламна графика - АЕ,1296,професионална,3,,
341,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - АЕ интензивно,0751,професионална,,0,0
342,Триадица,"НТБГ, ГР.СОФИЯ",Застрахователно и осигурително дело - НЕ интензивно,0775,професионална,,0,0
343,Триадица,"НТБГ, ГР.СОФИЯ",Оперативно счетоводство - РЕ интензивно,0777,професионална,,1,0
344,Триадица,"НТБГ, ГР.СОФИЯ",Бизнес администрация - ИЕ интензивно,0779,професионална,,2,1
345,Триадица,"НТБГ, ГР.СОФИЯ",Електронна търговия - АЕ интензивно,0788,професионална,,3,1
346,Триадица,"НТБГ, ГР.СОФИЯ",Икономическа информатика - АЕ интензивно,0802,професионална,,0,1
347,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - ФЕ интензивно,0933,професионална,,1,1
348,Триадица,"НТБГ, ГР.СОФИЯ",Банково дело - НЕ интензивно,0937,професионална,,0,0
349,Триадица,"НТБГ, ГР.СОФИЯ",Електронна търговия - РЕ интензивно,0941,професионална,,1,0
,,,,,,,,
,,,,,,,,
,Забележка:,Документи за прием в паралелки с код 0374 и 2411 се приемат в съответното училище.,,,,,,
,,Паралелка с код 1360 е закрита на първи етап.,,,,,,
