"СВОБОДНИ МЕСТА ЗА ТРЕТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА И РАЙОНИ, 
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1656,Митническа и данъчна администрация - АЕ,професионална,1,12,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1665,Спедиция транспортна и складова логистика - АЕ,професионална,1,18,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1677,Автомобилна мехатроника - АЕ,професионална,1,9,0,0
2207412,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ  ПО ТРАНСПОРТ, ГР.СОФИЯ",1684,Автотранспортна техника - монтьор,професионална,1,13,0,0
2208017,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",2371,"Чужди езици - ФЕ интензивно, ИтЕ/ИЕ",профилирана,1,21,0,0
2208017,"17 СУ ""Дамян Груев"", ГР.СОФИЯ",2379,"Туристическа анимация - ФЕ интензивно, ИтЕ/ИЕ",професионална,1,22,0,0
2208028,"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,1,5,0,0
2208028,"28 Средно училище  ""Алеко Константинов"", ГР.СОФИЯ",0374,"Физическо възпитание и спорт - АЕ, ИЕ",профилирана,1,,,
2208123,"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",0631,Логистика на товари и услуги /АЕ/,професионална,1,2,0,0
2208123,"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",3674,Логистика на товари и услуги /НЕ/,професионална,1,6,0,0
2208135,"135 средно училище ""Ян Амос Коменски"", ГР.СОФИЯ",2783,"Социална работа с деца и семейства в риск - АЕ, РЕ",професионална,1,9,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",професионална,1,5,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0563,"Декорация на сладкарски изделия - АЕ, НЕ",професионална,1,11,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0568,"Производство на сладкарски изделия - АЕ (дуална), НЕ",професионална,1,9,0,0
2208413,"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0573,"Производство на хляб и хлебни изделия - АЕ (дуална), НЕ",професионална,1,18,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3394,Предприемачески - НЕ интензивно НорвЕ,профилирана,1,2,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3396,Предприемачески - НЕ интензивно ДатЕ,профилирана,1,3,0,0
2209019,"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3399,"Предприемачески - АЕ интензивно, НЕ/НорвЕ/ДатЕ",профилирана,1,3,0,0
2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0778,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,1,4,0,0
2209036,"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0784,"Природни науки - АЕ интензивно, ИтЕ",профилирана,1,4,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2276,"Компютърна графика - АЕ интензивно, НЕ",професионална,1,0,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2289,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,1,1,0,0
2209051,"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",профилирана,1,1,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0423,"Софтуерни и хардуерни науки - АЕ, РЕ",профилирана,1,4,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0424,"Спортни-туристически дейности - помощник-инструктор АЕ, РЕ",професионална,1,12,0,0
2209132,"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",3191,Физическо възпитание и спорт,профилирана,1,,,
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2904,Чужди езици - АЕ интензивно  НЕ/РЕ,профилирана,1,6,0,0
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2907,Чужди езици - АЕ интензивно  ИЕ/РЕ,профилирана,1,4,0,0
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2909,Чужди езици - ИЕ интензивно  АЕ/НЕ,профилирана,1,7,0,0
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",профилирана,1,7,0,0
2209305,"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",3271,"Природни науки - АЕ интензивно, ИЕ/НЕ",профилирана,1,7,0,0
2210085,"85 Средно училище ""Отец Паисий"", ГР.СОФИЯ",1929,"Търговия на едро и дребно - АЕ, РЕ",професионална,1,11,0,0
2210117,"117. Средно училище  ""Свети свети Кирил и Методий"", ГР.БУХОВО",0975,Софтуерни и хардуерни науки,профилирана,1,4,0,0
2210162,"162 Обединено училище ""Отец Паисий"", ГР.СОФИЯ",2956,Предприемачески,профилирана,1,6,0,0
2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0906,"Предприемачески - АЕ интензивно, ИЕ",профилирана,1,1,0,0
2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",3676,"Предприемачески - ИЕ интензивно, АЕ",профилирана,1,0,0,0
2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0388,Чужди езици - НЕ интензивно РЕ БЕЛ,профилирана,1,1,0,0
2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0389,Чужди езици - НЕ интензивно РЕ М,профилирана,1,0,0,2
2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0390,Чужди езици - ФЕ интензивно РЕ БЗО,профилирана,1,0,0,0
2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0392,Чужди езици - ФЕ интензивно РЕ М,профилирана,1,0,0,1
2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",3505,Природни науки - БЗО ХООС НЕ интензивно РЕ,профилирана,1,0,0,1
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0814,Математически - АЕ М Инф,профилирана,1,0,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0821,Математически - НЕ М Инф,профилирана,1,1,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0830,Математически - АЕ ФА М,профилирана,1,0,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0835,Природни науки - АЕ БЗО ХООС,профилирана,1,0,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0843,Природни науки - АЕ ХООС БЗО,профилирана,1,0,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",0847,Икономическо развитие - АЕ,профилирана,1,0,0,0
2211304,"Национална природо-математическа  гимназия ""Академик Любомир Чакалов"", ГР.СОФИЯ",3305,Природни науки - НЕ БЗО ХООС,профилирана,1,0,0,0
2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",0462,"Моден дизайн - ИтЕ, АЕ",професионална,1,0,0,0
2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",0472,"Бутикови облекла - ИтЕ, АЕ",професионална,1,4,0,0
2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",0476,"Моден дизайн - АЕ, ФЕ",професионална,1,5,0,0
2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ИтЕ",професионална,1,3,0,0
2211417,"Професионална гимназия по облекло  ""Княгиня Мария Луиза"", ГР.СОФИЯ",0505,"Сценичен костюм - АЕ, ИтЕ",професионална,1,5,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0719,Строителство и архитектура - АЕ,професионална,1,2,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0735,Водно строителство - АЕ,професионална,1,0,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0748,Транспортно строителство - АЕ,професионална,1,0,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0762,Геодезия - АЕ,професионална,1,1,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0772,Парково строителство и озеленяване - АЕ,професионална,1,0,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0838,Брокер недвижими имоти - АЕ,професионална,1,2,0,0
2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ  ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0973,Строителство и архитектура - НЕ,професионална,1,1,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2749,Икономическа информатика - АЕ,професионална,1,0,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2754,Икономика и мениджмънт - АЕ,професионална,2,3,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2764,Икономика и мениджмънт - НЕ,професионална,1,1,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2768,Икономика и мениджмънт - ФЕ,професионална,1,0,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",2798,Търговия - НЕ (дуална),професионална,1,1,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",3603,Икономическа информатика - НЕ,професионална,1,0,0,0
2211420,"НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ, ГР.СОФИЯ",3604,Икономика и мениджмънт - ИЕ,професионална,1,0,0,0
2212027,"27. Средно училище ""Акад. Георги Караславов"", ГР.СОФИЯ",2387,Софтуерни и хардуерни науки,профилирана,1,9,0,0
2212037,"37. Средно училище ""Райна Княгиня"", ГР.СОФИЯ",2110,"Предприемачески - АЕ интензивно, РЕ",профилирана,1,6,0,0
2212037,"37. Средно училище ""Райна Княгиня"", ГР.СОФИЯ",3544,"Малък и среден бизнес - АЕ, РЕ",професионална,1,5,0,0
2212040,"40 Средно училище  ""Луи Пастьор"", ГР.СОФИЯ",0508,"Софтуерни и хардуерни науки - АЕ интензивно, РЕ",профилирана,1,4,0,0
2212056,"56. Средно училище  ""Професор Константин Иречек"", ГР.СОФИЯ",2200,"Икономическо развитие - АЕ интензивно, ИЕ",профилирана,1,9,0,0
2212056,"56. Средно училище  ""Професор Константин Иречек"", ГР.СОФИЯ",3639,"Предприемачески - НЕ интензивно, АЕ",профилирана,1,17,0,0
2212056,"56. Средно училище  ""Професор Константин Иречек"", ГР.СОФИЯ",3640,"Електронна търговия - АЕ, НЕ",професионална,1,8,0,0
2212079,"79 средно училище ""Индира Ганди"", ГР.СОФИЯ",2427,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,2,19,0,0
2212090,"90 Средно училище  ""Генерал Хосе де Сан Мартин"", ГР.СОФИЯ",1384,"Предприемачески - ИЕ, АЕ",профилирана,1,9,0,0
2212090,"90 Средно училище  ""Генерал Хосе де Сан Мартин"", ГР.СОФИЯ",1390,"Природни науки - АЕ, ИЕ",профилирана,1,13,0,0
2212096,"96 Средно училище ""Лев Николаевич Толстой"", ГР.СОФИЯ",0903,"Обществени науки - АЕ интензивно, ИЕ/РЕ",профилирана,1,2,0,0
2212096,"96 Средно училище ""Лев Николаевич Толстой"", ГР.СОФИЯ",3318,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ/РЕ",профилирана,1,0,0,0
2212097,"97 Средно училище  ""Братя Миладинови"", ГР.СОФИЯ",2506,Софтуерни и хардуерни науки - АЕ интензивно,профилирана,1,1,0,0
2212097,"97 Средно училище  ""Братя Миладинови"", ГР.СОФИЯ",2512,Търговия - АЕ (дуална),професионална,1,3,0,0
2212097,"97 Средно училище  ""Братя Миладинови"", ГР.СОФИЯ",3037,Предприемачески - АЕ,профилирана,1,2,0,0
2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1834,"Предприемачески - АЕ интензивно, НЕ",профилирана,1,1,0,0
2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1838,"Хуманитарни науки - АЕ интензивно, НЕ",профилирана,1,3,0,0
2212137,"137 средно училище  ""Ангел Кънчев"", ГР.СОФИЯ",1844,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,1,2,0,0
2213010,"10 Средно училище  "" Теодор Траянов "", ГР.СОФИЯ",2101,"Обществени науки - АЕ, РЕ",профилирана,1,4,0,0
2213010,"10 Средно училище  "" Теодор Траянов "", ГР.СОФИЯ",3075,"Природни науки - АЕ, РЕ",профилирана,1,12,0,0
2213039,"39 Средно училище ""Петър Динеков"", ГР.СОФИЯ",1802,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",профилирана,1,8,0,0
2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",2566,Чужди езици - АЕ интензивно,профилирана,1,2,0,0
2213081,"81. Средно училище  ""Виктор Юго"", ГР.СОФИЯ",2579,Хуманитарни науки,профилирана,1,7,0,0
2213118,"118 Средно училище  ""Академик Людмил Стоянов"", ГР.СОФИЯ",2943,"Софтуерни и хардуерни науки - АЕ интензивно, ФЕ",профилирана,1,0,0,0
2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици, ГР.СОФИЯ",1546,"Хуманитарни науки - АЕ интензивно, РЕ",профилирана,1,2,0,0
2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици, ГР.СОФИЯ",1557,"Математически - АЕ интензивно, РЕ",профилирана,1,6,0,0
2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН"", ГР.СОФИЯ",1660,"Софтуерни и хардуерни науки - АЕ, НЕ/РЕ",профилирана,1,1,0,0
2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН"", ГР.СОФИЯ",1670,"Икономическо информационно осигуряване - АЕ, НЕ/РЕ",професионална,1,2,0,0
2213131,"131. СУ ""Климент Аркадиевич Тимирязев"", ГР.СОФИЯ",2449,Търговия на едро и дребно,професионална,1,15,0,0
2213131,"131. СУ ""Климент Аркадиевич Тимирязев"", ГР.СОФИЯ",2454,Предприемачески,профилирана,1,11,0,0
2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1118,"Музика - АЕ, РЕ/ИЕ",профилирана,1,2,0,0
2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1123,"Рекламна графика - АЕ, РЕ/ИЕ",професионална,1,2,0,0
2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",1142,"Български танци - АЕ, РЕ/ИЕ",професионална,1,2,0,0
2213144,"144 Средно училище ""Народни будители"", ГР.СОФИЯ",3559,"Рекламна графика - ИЕ, РЕ/АЕ",професионална,1,5,0,0
2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",2127,"Системно програмиране - АЕ, РЕ",професионална,3,1,0,0
2213350,"Технологично училище ""Електронни системи"" към Технически Университет - София, ГР.СОФИЯ",2132,"Компютърни мрежи - АЕ, РЕ",професионална,1,1,0,0
2214015,"15 Средно училище "" Адам Мицкевич"", ГР.СОФИЯ",2582,"Предприемачески - АЕ, НЕ/РЕ",профилирана,1,18,0,0
2214015,"15 Средно училище "" Адам Мицкевич"", ГР.СОФИЯ",3015,Предприемачески,профилирана,1,12,0,0
2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",0749,Чужди езици - АЕ интензивно  ИЕ,профилирана,1,5,0,0
2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ"", ГР.СОФИЯ",0758,Софтуерни и хардуерни науки - АЕ интензивно   НЕ,профилирана,1,3,0,0
2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО"", ГР.СОФИЯ",2886,"Икономическо развитие - АЕ интензивно, НЕ",профилирана,1,4,0,0
2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО"", ГР.СОФИЯ",2889,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",профилирана,1,1,0,0
2214101,"101. СРЕДНО УЧИЛИЩЕ ""БАЧО КИРО"", ГР.СОФИЯ",3656,"Търговия на едро и дребно  - АЕ, НЕ",професионална,1,9,0,0
2215170,"170 Средно  училище ""Васил Левски"", ГР.НОВИ ИСКЪР",2972,Организация на туризма и свободното време - АЕ,професионална,1,10,0,0
2215170,"170 Средно  училище ""Васил Левски"", ГР.НОВИ ИСКЪР",3451,Електронна търговия - АЕ,професионална,1,3,0,0
2215172,"172 Обединено училище ""Христо Ботев"", ГР.НОВИ ИСКЪР",2807,Производство на облекло от текстил,професионална,1,11,0,0
2215176,"176 Обединено училище ""Св. Св. Кирил и Методий"", С.НЕГОВАН",2460,"Софтуерни и хардуерни науки - АЕ, РЕ",профилирана,1,23,0,0
2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",1831,Чужди езици - ИЕ интензивно АЕ,профилирана,1,2,0,0
2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",1900,"Природни науки - Биология и здравно образование - ИЕ интнензивно, АЕ",профилирана,1,2,0,0
2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",1906,Чужди езици - АЕ интензивно ИЕ,профилирана,1,1,0,0
2216001,"1 Средно  училище  ""Пенчо П. Славейков"", ГР.СОФИЯ",1907,"Природни науки - Биология и здравно образование - АЕ интензивно, ИЕ",профилирана,1,1,0,0
2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2561,Чужди езици - ИЕ интензивно АЕ,профилирана,1,0,2,0
2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2562,Чужди езици - ИЕ интензивно ФЕ,профилирана,2,0,1,2
2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2564,Чужди езици - ИЕ интензивно ИтЕ,профилирана,2,0,1,0
2216164,"164. гимназия с преподаване  на испански език ""Мигел де Сервантес"", ГР.СОФИЯ",2569,Чужди езици - ИЕ интензивно ПортЕ,профилирана,1,0,1,0
2216301,"Първа английска езикова гимназия, ГР.СОФИЯ",0649,Чужди езици - АЕ интензивно РЕ,профилирана,1,0,1,0
2216301,"Първа английска езикова гимназия, ГР.СОФИЯ",0672,Чужди езици - АЕ интензивно ИЕ,профилирана,2,0,0,1
2216301,"Първа английска езикова гимназия, ГР.СОФИЯ",0727,Чужди езици - АЕ интензивно НЕ,профилирана,2,0,1,1
2216301,"Първа английска езикова гимназия, ГР.СОФИЯ",0752,Чужди езици - АЕ интензивно ФЕ,профилирана,2,0,0,2
2216301,"Първа английска езикова гимназия, ГР.СОФИЯ",3349,Предприемачество - АЕ интензивно НЕ,профилирана,1,0,1,0
2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",2277,"Математически - АЕ, НЕ",профилирана,4,3,0,0
2216306,"Софийска математическа гимназия  ""Паисий Хилендарски"", ГР.СОФИЯ",2278,"Математически - НЕ интензивно, АЕ",профилирана,2,0,0,0
