Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
200,"90 Средно училище ""Генерал Хосе де Сан Мартин""",1390,"Природни науки - АЕ, ИЕ",1,-,-
201,"91.НЕМСКА ЕЗИКОВА ГИМНАЗИЯ Професор Константин Гълъбов""",2644,Чужди езици - НЕ интензивно /АЕ,0,2,0
202,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",0,-,-
203,"93-то Средно училище ""Александър Теодоров - Балан""",2878,"Обществени науки - АЕ интензивно, РЕ",4,-,-
204,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",0,-,-
205,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2525,Предприемачески,7,-,-
206,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2535,Производство на облекло от текстил,4,-,-
207,"94 СРЕДНО УЧИЛИЩЕ ""Димитър Страшимиров""",2539,Логистика на товари и услуги - куриер /АЕ/,2,-,-
208,"95 СУ ""Проф. Иван Шишманов""",2354,"Чужди езици - АЕ интензивно, РЕ",0,-,-
209,"95 СУ ""Проф. Иван Шишманов""",2359,"Чужди езици - РЕ интензивно, АЕ",8,-,-
210,"95 СУ ""Проф. Иван Шишманов""",2459,"Природни науки - АЕ интензивно, РЕ",11,-,-
211,"95 СУ ""Проф. Иван Шишманов""",3354,"Предприемачески - АЕ интензивно, РЕ",0,-,-
212,"96 Средно училище ""Лев Николаевич Толстой""",0903,Обществени науки - АЕ интензивно,0,-,-
213,"96 Средно училище ""Лев Николаевич Толстой""",3318,Софтуерни и хардуерни науки - АЕ интензивно,0,-,-
214,"96 Средно училище ""Лев Николаевич Толстой""",4109,Софтуерни и хардуерни науки - АЕ разширено,0,-,-
215,"97 Средно училище ""Братя Миладинови""",2506,Софтуерни и хардуерни науки - АЕ интензивно,1,-,-
216,"97 Средно училище ""Братя Миладинови""",2512,"Търговия (дуална) - АЕ, НЕ",0,-,-
217,"97 Средно училище ""Братя Миладинови""",3037,Предприемачески - АЕ,0,-,-
218,"Втора английска езикова гимназия ""Томас Джеферсън""",2018,"Чужди езици - АЕ интензивно, НЕ ,М, ФА",0,0,0
219,"Втора английска езикова гимназия ""Томас Джеферсън""",2020,"Чужди езици - АЕ интензивно, НЕ, БЕЛ, ИЦ",0,0,0
220,"Втора английска езикова гимназия ""Томас Джеферсън""",2022,"Чужди езици - АЕ интензивно, НЕ, БЗО, ХООС",0,0,0
221,"Втора английска езикова гимназия ""Томас Джеферсън""",2025,"Чужди езици АЕ интензивно, ИЕ, М, ГИ",0,1,0
222,"Втора английска езикова гимназия ""Томас Джеферсън""",2028,"Чужди езици - АЕ интензивно, ИЕ, ИЦ, БЕЛ",0,0,1
223,"Втора английска езикова гимназия ""Томас Джеферсън""",2030,"Чужди езици - АЕ интензивно, ИЕ, БЕЛ, ИТ",0,0,0
224,"Втора английска езикова гимназия ""Томас Джеферсън""",2034,"Чужди езици - АЕ интензивно, РЕ, М, ИТ",0,1,1
225,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0814,Математически - АЕ М Инф,0,-,-
226,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0821,Математически - НЕ М Инф,0,-,-
227,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0830,Математически - АЕ ФА М,0,-,-
228,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0835,Природни науки - АЕ БЗО ХООС,0,-,-
229,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0843,Природни науки - АЕ ХООС БЗО,0,-,-
230,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",0847,Икономическо развитие - АЕ,1,-,-
231,"Национална природо-математическа гимназия ""Академик Любомир Чакалов""",4091,Природни науки - НЕ БЗО ХООС,0,-,-
232,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,1,-,-
233,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0319,Измервателна и организационна техника - АЕ,1,-,-
234,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",1,-,-
235,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0324,Очна оптика - НЕ,0,-,-
236,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,0,-,-
237,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0328,Компютърна техника и технологии - АЕ,0,-,-
238,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,0,-,-
239,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0751,"Банково дело - АЕ интензивно, НЕ",0,0,0
240,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - НЕ интензивно, АЕ",0,0,0
241,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",0,0,0
242,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",0,0,0
243,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, НЕ",0,0,2
244,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0802,"Икономическа информатика - АЕ интензивно, НЕ",0,0,0
245,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",0,0,1
246,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0937,"Банково дело - НЕ интензивно, АЕ",0,0,0
247,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",0,0,1
248,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,0,-,-
249,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,1,-,-
250,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,0,-,-
251,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2768,Икономика и мениджмънт - ФЕ,2,-,-
252,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,0,-,-
253,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,0,-,-
254,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",2692,"Изобразително изкуство - АЕ, РЕ",9,-,-
255,"НАЦИОНАЛНО СРЕДНО УЧИЛИЩЕ ""СОФИЯ""",4011,"Предприемачески - АЕ, РЕ",0,-,-
256,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2752,Компютърни мрежи - АЕ,1,-,-
257,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2756,Телекомуникационни системи - АЕ,1,-,-
258,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2760,Приложно програмиране - АЕ интензивно,1,-,-
259,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2763,Компютърна техника и технологии - АЕ,1,-,-
260,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",2769,Системно програмиране - АЕ интензивно,4,-,-
261,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО АУДИО-, ВИДЕО- И ТЕЛЕКОМУНИКАЦИЯ ""А. С. ПОПОВ""",3317,Охранителна техника и системи за сигурност - АЕ,0,-,-
262,"Професионална гимназия по дизайн ""Елисавета Вазова""",1290,"Интериорен дизайн- НЕ, АЕ",0,-,-
263,"Професионална гимназия по дизайн ""Елисавета Вазова""",1292,"Интериорен дизайн - ИтЕ, АЕ",0,-,-
264,"Професионална гимназия по дизайн ""Елисавета Вазова""",1294,"Графичен дизайн - АЕ, ИтЕ",0,-,-
265,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,"Рекламна графика - АЕ, ИтЕ",1,-,-
266,"Професионална гимназия по дизайн ""Елисавета Вазова""",3856,"Интериорен дизайн - ФЕ, ИтЕ",0,-,-
267,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0851,Екология и опазване на околната среда - АЕ,2,-,-
268,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874,Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,15,-,-
269,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909,Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ,5,-,-
270,"Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591,Осигуряване на продуктова информация - НЕ (дуална),21,-,-
271,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2115,Компютърни мрежи - АЕ,7,-,-
272,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2123,Компютърна техника и технологии - АЕ,6,-,-
273,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2133,Системно програмиране - АЕ,8,-,-
274,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,2138,Приложно програмиране - АЕ,1,-,-
275,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3081,Електродомакинска техника - АЕ,9,-,-
276,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3670,Електрически инсталации - АЕ,8,-,-
277,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ЕЛЕКТРОТЕХНИКА И АВТОМАТИКА,3864,Програмиране на изкуствен интелект - АЕ,11,-,-
278,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2173,Металообработващи машини,17,-,-
279,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2177,Електрообзавеждане на производството - електромонтьор,11,-,-
280,"Професионална гимназия по механоелектротехника ""Н.Й.Вапцаров""",2193,Промишлена електроника - АЕ,3,-,-
281,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",2,-,-
282,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0472,"Бутикови облекла - ИтЕ, АЕ",1,-,-
283,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0476,"Моден дизайн - АЕ, ФЕ",1,-,-
284,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,-,-
285,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ИтЕ",0,-,-
286,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2524,Пътно-строителна техника,13,-,-
287,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",2528,Подемно-транспортна техника монтирана на пътни тр. средства,17,-,-
288,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПОДЕМНА, СТРОИТЕЛНА И ТРАНСПОРТНА ТЕХНИКА",3558,Локомотиви и вагони (дуална),18,-,-
289,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2901,Трайни насаждения,12,-,-
290,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2903,Цветарство,11,-,-
291,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО СЕЛСКО СТОПАНСТВО ""БУЗЕМА""",2905,Каменоделство,20,-,-
292,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1856,Бутикови облекла,1,-,-
293,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,1868,Конструиране моделиране и технология на обувни изделия (дуална),1,-,-
294,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,3251,Моден дизайн - АЕ,1,-,-
295,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0707,Оптически комуникационни системи - АЕ,0,-,-
296,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0722,Компютърни мрежи - АЕ,0,-,-
297,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0730,Компютърна техника и технологии - АЕ,0,-,-
298,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,0,-,-
299,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,0,-,-
300,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0746,Икономическа информатика - АЕ,2,-,-
301,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,3215,Телекомуникационни системи-АЕ,0,-,-
302,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",6,-,-
303,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",13,-,-
304,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",6,-,-
305,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,12,-,-
306,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2165,Автомобилна мехатроника - АЕ,0,-,-
307,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2178,Ремонт на летателни апарати - АЕ,2,-,-
308,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2187,Спедиция транспортна и складова логистика - АЕ (дневна),11,-,-
309,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",2212,Спедиция транспортна и складова логистика - АЕ (дуална),9,-,-
310,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3500,Автотранспортна техника - техник АЕ,15,-,-
311,"ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ ""МАКГАХАН""",3934,Електрически превозни средства - техник АЕ,20,-,-
312,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",1911,Промишлена електроника,1,-,-
313,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2343,Електрообзавеждане на ел. превозни средства за гр. транспорт,4,-,-
314,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2349,Електрообзавеждане на подемна и асансьорна техника (дуална),16,-,-
315,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2352,Газова техника - АЕ,6,-,-
316,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2357,Възобновяеми енергийни източници - АЕ,2,-,-
317,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2362,Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална),1,-,-
318,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2364,Автотранспортна техника - техник (дуална) - АЕ,0,-,-
319,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2367,Автомобилна мехатроника - АЕ (дуална),1,-,-
320,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2376,Автомобилна мехатроника - АЕ (дуална),0,-,-
321,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2378,Електрически превозни средства - АЕ (дуална),0,-,-
322,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2380,Ремонт на летателни апарати - АЕ,1,-,-
323,"Професионална гимназия по транспорт и енергетика ""Хенри Форд""",2383,Експлоатация на автомобилния транспорт,0,-,-
324,"Професионална гимназия по туризъм ""Алеко Константинов""",0344,Организация на хотелиерството - АЕ,2,-,-
325,"Професионална гимназия по туризъм ""Алеко Константинов""",0355,Производство и обслужване в заведенията за хранене и развлечения - АЕ,18,-,-
326,"Професионална гимназия по туризъм ""Алеко Константинов""",0362,Производство на кулинарни изделия и напитки - готвач,8,-,-
327,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0448,Производство на захар и захарни изделия - АЕ,0,-,-
328,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",0452,Производство на месо месни продукти и риба - АЕ,10,-,-
329,"Професионална гимназия по хранително-вкусови технологии ""Проф. д-р Георги Павлов""",3671,"Производство на месо, месни продукти и риба",9,-,-
330,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,0,-,-
331,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",4092,Компютърна графика - АЕ,0,-,-
332,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2934,"Чужди езици - РумЕ интензивно, АЕ",4,-,-
333,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, РумЕ",5,-,-
334,Първа английска езикова гимназия,0649,"Чужди езици - АЕ интензивно, РЕ",0,1,0
335,Първа английска езикова гимназия,0672,"Чужди езици - АЕ интензивно, ИЕ",0,1,2
336,Първа английска езикова гимназия,0727,"Чужди езици - АЕ интензивно, НЕ",0,1,1
337,Първа английска езикова гимназия,0752,"Чужди езици - АЕ интензивно, ФЕ",0,0,0
338,Първа английска езикова гимназия,3349,"Предприемачество - АЕ интензивно, НЕ",0,0,0
339,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0719,Строителство и архитектура - АЕ,0,-,-
340,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0735,Водно строителство - АЕ,0,-,-
341,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0748,Транспортно строителство - АЕ,1,-,-
342,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,0,-,-
343,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0772,Парково строителство и озеленяване - АЕ,0,-,-
344,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,0,-,-
345,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0973,Строителство и архитектура - НЕ,0,-,-
346,Софийска гимназия по хлебни и сладкарски технологии,0547,Производство на хляб хлебни и сладкарски изделия - АЕ,4,-,-
347,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,4,-,-
348,Софийска гимназия по хлебни и сладкарски технологии,4101,Производство на сладкарски изделия - АЕ,7,-,-
349,"Софийска математическа гимназия ""Паисий Хилендарски""",2277,Математически (математика и информатика) - АЕ (РИЧЕ),0,-,-
350,"Софийска математическа гимназия ""Паисий Хилендарски""",2278,Математически (математика и информатика) - НЕ (ИИЧЕ),0,-,-
351,"Софийска математическа гимназия ""Паисий Хилендарски""",3907,Математически (математика и физика) - АЕ (РИЧЕ),1,-,-
352,"Софийска математическа гимназия ""Паисий Хилендарски""",3909,Математически (математика и физика) - НЕ (ИИЧЕ),1,-,-
353,"Софийска професионална гимназия ""Княгиня Евдокия""",2837,"Съдебна администрация - АЕ, РЕ",1,-,-
354,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,"Икономическо информационно осигуряване - АЕ, РЕ",1,-,-
355,"Софийска професионална гимназия ""Княгиня Евдокия""",2842,"Извършване на термални процедури - АЕ, РЕ (дуална)",8,-,-
356,"Софийска професионална гимназия ""Княгиня Евдокия""",2843,Фризьорство,0,-,-
357,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,1,-,-
358,"Софийска професионална гимназия ""Княгиня Евдокия""",3381,"Промишлен дизайн - АЕ, РЕ",4,-,-
359,"Софийска професионална гимназия ""Княгиня Евдокия""",3382,"Индустриални отношения - АЕ, РЕ",2,-,-
360,"Софийска професионална гимназия ""Княгиня Евдокия""",4009,"Фотография - АЕ, РЕ",2,-,-
361,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2328,"Системно програмиране - АЕ, НЕ",1,-,-
362,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2338,"Приложно програмиране - АЕ, НЕ",1,-,-
363,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2360,"Компютърни мрежи - АЕ, НЕ",2,-,-
364,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2363,"Компютърна техника и технологии - АЕ, НЕ",0,-,-
365,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2366,"Микропроцесорна техника - АЕ, НЕ",1,-,-
366,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",0,-,-
367,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1277,Кетъринг - РЕ,0,-,-
368,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1281,Кетъринг - ИЕ,0,-,-
369,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1283,Производство и обслужване в заведенията за хранене и развлечения - ИтЕ,0,-,-
370,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1284,Производство и обслужване в заведенията за хранене и развлечения - НЕ,0,-,-
371,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,0,-,-
372,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1286,Организация на обслужването в хотелиерството - АЕ,1,-,-
373,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1287,Екскурзоводско обслужване - АЕ,1,-,-
374,"Технологично училище ""Електронни системи"" към Технически Университет - София",2127,Системно програмиране - АЕ,1,-,-
375,"Технологично училище ""Електронни системи"" към Технически Университет - София",2132,Компютърни мрежи - АЕ,0,-,-
,,,Общо:,818,10,19
